jogo_terminado,id_jogo,ano_copa,time,mandante,oponente,vitoria,empate,derrota,gols_marcados,gols_tomados,escanteios_afavor,gols_marcados_primeiro_tempo,gols_tomados_primeiro_tempo,abriu_placar,ambos_marcaram,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,posse_bola,chutes,chutes_gol,precisao_chute,ranking_fifa_time,ranking_fifa_oponente,diferenca_ranking,zebra
1,33,2010,Uruguay,0,Mexico,1,0,0,1,0,7,1,0,1,0,1,0,13,37,13,6,0.4615384615384616,1048.090909090909,868.9090909090909,179.18181818181813,0
1,34,2010,France,1,South Africa,0,0,1,1,2,3,0,2,0,1,1,1,9,50,11,6,0.5454545454545454,970.4545454545456,465.90909090909093,504.54545454545456,1
1,34,2010,South Africa,0,France,1,0,0,2,1,5,2,0,1,1,0,0,12,50,17,10,0.5882352941176471,465.90909090909093,970.4545454545456,-504.54545454545456,1
1,35,2010,Greece,1,Argentina,0,0,1,0,2,1,0,0,0,0,1,0,15,33,6,4,0.6666666666666666,1006.9090909090908,1213,-206.09090909090912,0
1,35,2010,Argentina,0,Greece,1,0,0,2,0,10,0,0,1,0,1,0,8,67,16,12,0.75,1213,1006.9090909090908,206.09090909090912,0
1,36,2010,Nigeria,1,South Korea,0,1,0,2,2,1,1,1,1,1,3,0,20,46,13,5,0.38461538461538464,809.7272727272727,638.2727272727273,171.4545454545455,1
1,36,2010,South Korea,0,Nigeria,0,1,0,2,2,7,1,1,0,1,1,0,11,54,16,9,0.5625,638.2727272727273,809.7272727272727,-171.4545454545455,1
1,37,2010,United States,1,Algeria,1,0,0,1,0,4,0,0,1,0,2,0,11,53,21,11,0.5238095238095238,920.2727272727273,763.8181818181819,156.45454545454538,0
1,37,2010,Algeria,0,United States,0,0,1,0,1,6,0,0,0,0,3,1,21,47,16,5,0.3125,763.8181818181819,920.2727272727273,-156.45454545454538,0
1,38,2010,Slovenia,1,England,0,0,1,0,1,2,0,1,0,0,3,0,19,46,12,7,0.5833333333333334,875.1818181818181,1139.2727272727273,-264.0909090909091,0
1,38,2010,England,0,Slovenia,1,0,0,1,0,11,1,0,1,0,1,0,20,54,14,9,0.6428571428571429,1139.2727272727273,875.1818181818181,264.0909090909091,0
1,39,2010,Australia,1,Serbia,1,0,0,2,1,5,0,0,1,1,3,0,24,43,11,7,0.6363636363636364,874.3636363636364,922.3636363636364,-48,0
1,39,2010,Serbia,0,Australia,0,0,1,1,2,6,0,0,0,1,2,0,10,57,17,7,0.4117647058823529,922.3636363636364,874.3636363636364,48,0
1,40,2010,Ghana,1,Germany,0,0,1,0,1,4,0,0,0,0,1,0,11,45,16,6,0.375,853.0909090909091,1327.2727272727273,-474.1818181818182,0
1,40,2010,Germany,0,Ghana,1,0,0,1,0,7,0,0,1,0,1,0,5,55,13,7,0.5384615384615384,1327.2727272727273,853.0909090909091,474.1818181818182,0
1,41,2010,Paraguay,1,New Zealand,0,1,0,0,0,2,0,0,0,0,2,0,12,61,14,6,0.42857142857142855,860.5454545454545,483.72727272727275,376.81818181818176,1
1,41,2010,New Zealand,0,Paraguay,0,1,0,0,0,0,0,0,0,0,1,0,18,39,4,0,0,483.72727272727275,860.5454545454545,-376.81818181818176,1
1,42,2010,Slovakia,1,Italy,1,0,0,3,2,6,1,0,1,1,4,0,20,46,11,5,0.4545454545454546,821.2727272727273,1070.5454545454545,-249.27272727272725,0
1,42,2010,Italy,0,Slovakia,0,0,1,2,3,3,0,1,0,1,4,0,17,54,16,7,0.4375,1070.5454545454545,821.2727272727273,249.27272727272725,0
1,43,2010,Denmark,1,Japan,0,0,1,1,3,7,0,2,0,1,3,0,22,55,14,7,0.5,789.9090909090909,735.9090909090909,54,1
1,43,2010,Japan,0,Denmark,1,0,0,3,1,2,2,0,1,1,2,0,10,45,15,10,0.6666666666666666,735.9090909090909,789.9090909090909,-54,1
1,44,2010,Cameroon,1,Netherlands,0,0,1,1,2,6,0,1,0,1,2,0,18,51,12,4,0.3333333333333333,782,1493.6363636363635,-711.6363636363637,0
1,44,2010,Netherlands,0,Cameroon,1,0,0,2,1,1,1,0,1,1,3,0,15,49,15,9,0.6,1493.6363636363635,782,711.6363636363637,0
1,45,2010,North Korea,1,Ivory Coast,0,0,1,0,3,0,0,2,0,0,0,0,13,37,7,5,0.7142857142857143,NA,856.7272727272727,NA,0
1,45,2010,Ivory Coast,0,North Korea,1,0,0,3,0,7,2,0,1,0,0,0,16,63,26,16,0.6153846153846154,856.7272727272727,NA,NA,0
1,46,2010,Portugal,1,Brazil,0,1,0,0,0,4,0,0,0,0,4,0,11,36,13,4,0.3076923076923077,1143.3636363636365,1540.4545454545455,-397.0909090909093,0
1,46,2010,Brazil,0,Portugal,0,1,0,0,0,7,0,0,0,0,3,0,18,64,17,6,0.35294117647058826,1540.4545454545455,1143.3636363636365,397.0909090909093,0
1,47,2010,Switzerland,1,Honduras,0,1,0,0,0,2,0,0,0,0,1,0,9,53,5,2,0.4,890.4545454545455,652.2727272727273,238.18181818181824,1
1,47,2010,Honduras,0,Switzerland,0,1,0,0,0,0,0,0,0,0,4,0,8,47,0,0,NA,652.2727272727273,890.4545454545455,-238.18181818181824,1
1,48,2010,Chile,1,Spain,0,0,1,1,2,3,0,2,0,1,3,1,21,38,9,5,0.5555555555555556,957,1752.6363636363635,-795.6363636363637,0
1,48,2010,Spain,0,Chile,1,0,0,2,1,4,2,0,1,1,0,0,13,62,9,4,0.4444444444444444,1752.6363636363635,957,795.6363636363637,0
1,49,2010,Uruguay,1,South Korea,1,0,0,2,1,3,1,0,1,1,0,0,12,42,13,9,0.6923076923076923,1048.090909090909,638.2727272727273,409.81818181818176,0
1,49,2010,South Korea,0,Uruguay,0,0,1,1,2,3,0,1,0,1,3,0,12,58,14,6,0.42857142857142855,638.2727272727273,1048.090909090909,-409.81818181818176,0
1,50,2010,United States,1,Ghana,0,0,1,1,2,5,0,1,0,1,3,0,11,47,17,7,0.4117647058823529,920.2727272727273,853.0909090909091,67.18181818181813,1
1,50,2010,Ghana,0,United States,1,0,0,2,1,4,1,0,1,1,2,0,18,53,14,7,0.5,853.0909090909091,920.2727272727273,-67.18181818181813,1
1,51,2010,Germany,1,England,1,0,0,4,1,4,2,1,1,1,1,0,7,50,15,8,0.5333333333333333,1327.2727272727273,1139.2727272727273,188,0
1,51,2010,England,0,Germany,0,0,1,1,4,6,1,2,0,1,1,0,6,50,17,10,0.5882352941176471,1139.2727272727273,1327.2727272727273,-188,0
1,52,2010,Argentina,1,Mexico,1,0,0,3,1,2,2,0,1,1,0,0,11,49,10,7,0.7,1213,868.9090909090909,344.0909090909091,0
1,52,2010,Mexico,0,Argentina,0,0,1,1,3,5,0,2,0,1,1,0,26,51,17,7,0.4117647058823529,868.9090909090909,1213,-344.0909090909091,0
1,53,2010,Netherlands,1,Slovakia,1,0,0,2,1,5,1,0,1,1,2,0,17,57,15,10,0.6666666666666666,1493.6363636363635,821.2727272727273,672.3636363636365,0
1,53,2010,Slovakia,0,Netherlands,0,0,1,1,2,2,0,1,0,1,3,0,19,43,10,4,0.4,821.2727272727273,1493.6363636363635,-672.3636363636365,0
1,54,2010,Brazil,1,Chile,1,0,0,3,0,8,2,0,1,0,2,0,14,49,18,7,0.3888888888888889,1540.4545454545455,957,583.4545454545455,0
1,54,2010,Chile,0,Brazil,0,0,1,0,3,6,0,2,0,0,3,0,18,51,11,4,0.3636363636363637,957,1540.4545454545455,-583.4545454545455,0
1,55,2010,Paraguay,1,Japan,0,1,0,0,0,6,0,0,0,0,1,0,26,60,10,6,0.6,860.5454545454545,735.9090909090909,124.63636363636364,1
1,55,2010,Japan,0,Paraguay,0,1,0,0,0,5,0,0,0,0,4,0,29,40,11,6,0.5454545454545454,735.9090909090909,860.5454545454545,-124.63636363636364,1
1,56,2010,Spain,1,Portugal,1,0,0,1,0,6,0,0,1,0,1,0,13,65,19,11,0.5789473684210527,1752.6363636363635,1143.3636363636365,609.2727272727275,0
1,56,2010,Portugal,0,Spain,0,0,1,0,1,3,0,0,0,0,1,1,18,35,10,4,0.4,1143.3636363636365,1752.6363636363635,-609.2727272727275,0
